11,2,52,0,12,"get_tox_env@30-41@./nova/tools/run-tests.py","./nova/tools/run-tests.py","get_tox_env","get_tox_env( )",30,41
2,1,16,0,2,"tox_env_is_functional@44-45@./nova/tools/run-tests.py","./nova/tools/run-tests.py","tox_env_is_functional","tox_env_is_functional( )",44,45
5,2,27,0,7,"get_stestr_opts@48-54@./nova/tools/run-tests.py","./nova/tools/run-tests.py","get_stestr_opts","get_stestr_opts( )",48,54
17,7,101,0,25,"get_test_files@57-81@./nova/tools/run-tests.py","./nova/tools/run-tests.py","get_test_files","get_test_files( )",57,81
14,4,87,0,20,"main@84-103@./nova/tools/run-tests.py","./nova/tools/run-tests.py","main","main( )",84,103
11,3,70,3,14,"check@83-96@./nova/nova/cmd/policy.py","./nova/nova/cmd/policy.py","check","check( self , api_name = None , target = None )",83,96
5,1,28,1,5,"_get_context@98-102@./nova/nova/cmd/policy.py","./nova/nova/cmd/policy.py","_get_context","_get_context( self )",98,102
16,5,105,3,30,"_get_target@104-133@./nova/nova/cmd/policy.py","./nova/nova/cmd/policy.py","_get_target","_get_target( self , context , target )",104,133
4,4,49,4,4,"_filter_rules@135-138@./nova/nova/cmd/policy.py","./nova/nova/cmd/policy.py","_filter_rules","_filter_rules( self , context , api_name , target )",135,138
17,4,102,0,21,"main@156-176@./nova/nova/cmd/policy.py","./nova/nova/cmd/policy.py","main","main( )",156,176
7,1,48,0,9,"main@35-43@./nova/nova/cmd/novncproxy.py","./nova/nova/cmd/novncproxy.py","main","main( )",35,43
12,2,96,0,14,"main@34-47@./nova/nova/cmd/conductor.py","./nova/nova/cmd/conductor.py","main","main( )",34,47
9,5,87,3,27,"validate_args@34-60@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","validate_args","validate_args( fn , * args , ** kwargs )",34,60
3,1,29,1,3,"args._decorator@68-70@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","args._decorator","args._decorator( func )",68,70
3,1,14,2,8,"args@64-71@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","args","args( * args , ** kwargs )",64,71
6,4,54,1,10,"methods_of@74-83@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","methods_of","methods_of( obj )",74,83
32,7,287,2,50,"add_command_parsers@86-135@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","add_command_parsers","add_command_parsers( subparsers , categories )",86,135
8,4,75,1,8,"print_bash_completion@138-145@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","print_bash_completion","print_bash_completion( categories )",138,145
22,7,148,0,30,"get_action_fn@148-177@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","get_action_fn","get_action_fn( )",148,177
3,1,12,1,3,"action_description._decorator@189-191@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","action_description._decorator","action_description._decorator( func )",189,191
3,1,10,1,13,"action_description@180-192@./nova/nova/cmd/common.py","./nova/nova/cmd/common.py","action_description","action_description( text )",180,192
5,1,32,0,6,"main@33-38@./nova/nova/cmd/spicehtml5proxy.py","./nova/nova/cmd/spicehtml5proxy.py","main","main( )",33,38
8,1,62,1,8,"mask_passwd_in_url@111-118@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","mask_passwd_in_url","mask_passwd_in_url( url )",111,118
18,8,156,4,31,"format_dict@121-151@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","format_dict","format_dict( dct , dict_property = 'Property' , dict_value = 'Value' , sort_key = None )",121,151
14,5,94,3,24,"locked_instance@155-178@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","locked_instance","locked_instance( cell_mapping , instance , reason )",155,178
28,4,117,3,32,"sync@230-261@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","sync","sync( self , version = None , local_cell = False )",230,261
2,1,14,1,3,"version@263-265@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","version","version( self )",263,265
3,1,22,1,3,"archive_deleted_rows.sort_func@360-362@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","archive_deleted_rows.sort_func","archive_deleted_rows.sort_func( item )",360,362
85,22,392,9,130,"archive_deleted_rows@297-426@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","archive_deleted_rows","archive_deleted_rows( self , max_rows = 1000 , verbose = False , until_complete = False , purge = False , before = None , all_cells = False , task_log = False , sleep = 0 , )",297,426
41,9,222,10,82,"_do_archive@428-509@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_do_archive","_do_archive( self , table_to_rows_archived , cctxt , max_rows , until_complete , verbose , before_date , cell_name , task_log , sleep , )",428,509
3,2,18,1,3,"purge.status@536-538@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","purge.status","purge.status( msg )",536,538
36,9,191,5,41,"purge@522-562@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","purge","purge( self , before = None , purge_all = False , verbose = False , all_cells = False )",522,562
27,6,136,3,32,"_run_migration@564-595@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_run_migration","_run_migration( self , ctxt , max_count )",564,595
42,14,264,2,57,"online_data_migrations@599-655@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","online_data_migrations","online_data_migrations( self , max_count = None )",599,655
29,5,150,3,35,"ironic_compute_node_move@662-696@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","ironic_compute_node_move","ironic_compute_node_move( self , compute_node_uuid , destination_service_host )",662,696
2,1,6,1,2,"__init__@702-703@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","__init__","__init__( self )",702,703
2,1,21,2,3,"sync@706-708@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","sync","sync( self , version = None )",706,708
2,1,17,1,3,"version@710-712@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","version","version( self )",710,712
21,5,99,3,23,"_validate_transport_url@718-740@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_validate_transport_url","_validate_transport_url( self , transport_url , warn_about_none = True )",718,740
15,4,54,3,15,"_validate_database_connection@742-756@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_validate_database_connection","_validate_database_connection( self , database_connection , warn_about_none = True )",742,756
12,6,69,5,14,"_non_unique_transport_url_database_connection_checker@758-771@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_non_unique_transport_url_database_connection_checker","_non_unique_transport_url_database_connection_checker( self , ctxt , cell_mapping , transport_url , database_connection )",758,771
21,5,131,2,33,"simple_cell_setup@775-807@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","simple_cell_setup","simple_cell_setup( self , transport_url = None )",775,807
6,2,34,2,17,"map_cell0@816-832@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","map_cell0","map_cell0( self , database_connection = None )",816,832
5,1,47,0,16,"_map_cell0.cell0_default_connection@838-853@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_map_cell0.cell0_default_connection","_map_cell0.cell0_default_connection( )",838,853
10,2,61,2,32,"_map_cell0@834-865@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_map_cell0","_map_cell0( self , database_connection = None )",834,865
22,5,147,5,25,"_get_and_map_instances@867-891@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_and_map_instances","_get_and_map_instances( self , ctxt , cell_mapping , limit , marker )",867,891
39,9,208,4,77,"map_instances@906-982@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","map_instances","map_instances( self , cell_uuid , max_count = None , reset_marker = None )",906,982
41,10,235,4,49,"_map_cell_and_hosts@984-1032@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_map_cell_and_hosts","_map_cell_and_hosts( self , transport_url , name = None , verbose = False )",984,1032
6,2,44,4,20,"map_cell_and_hosts@1039-1058@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","map_cell_and_hosts","map_cell_and_hosts( self , transport_url = None , name = None , verbose = False )",1039,1058
3,2,13,1,3,"verify_instance.say@1077-1079@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","verify_instance.say","verify_instance.say( string )",1077,1079
40,6,181,3,58,"verify_instance@1064-1121@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","verify_instance","verify_instance( self , uuid , quiet = False )",1064,1121
3,2,12,1,3,"discover_hosts.status_fn@1149-1151@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","discover_hosts.status_fn","discover_hosts.status_fn( msg )",1149,1151
17,3,79,5,33,"discover_hosts@1135-1167@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","discover_hosts","discover_hosts( self , cell_uuid = None , verbose = False , strict = False , by_service = False )",1135,1167
24,5,127,6,25,"create_cell@1183-1207@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","create_cell","create_cell( self , name = None , database_connection = None , transport_url = None , verbose = False , disabled = False )",1183,1207
19,5,153,2,29,"list_cells@1211-1239@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","list_cells","list_cells( self , verbose = False )",1211,1239
43,10,231,3,80,"delete_cell@1246-1325@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","delete_cell","delete_cell( self , cell_uuid , force = False )",1246,1325
42,20,249,7,71,"update_cell@1346-1416@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","update_cell","update_cell( self , cell_uuid , name = None , transport_url = None , db_connection = None , disable = False , enable = False )",1346,1416
20,4,150,2,25,"list_hosts@1420-1444@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","list_hosts","list_hosts( self , cell_uuid = None )",1420,1444
31,7,191,3,53,"delete_host@1450-1502@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","delete_host","delete_host( self , cell_uuid , host )",1450,1502
8,2,57,3,18,"_get_compute_node_uuid@1509-1526@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_compute_node_uuid","_get_compute_node_uuid( ctxt , instance , node_cache )",1509,1526
10,2,67,3,19,"_get_ports@1529-1547@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_ports","_get_ports( ctxt , instance , neutron )",1529,1547
6,2,50,2,7,"_has_request_but_no_allocation@1550-1556@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_has_request_but_no_allocation","_has_request_but_no_allocation( port , neutron )",1550,1556
8,4,72,2,22,"_merge_allocations@1559-1580@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_merge_allocations","_merge_allocations( alloc1 , alloc2 )",1559,1580
6,1,48,2,6,"_get_resource_request_from_ports@1583-1588@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_resource_request_from_ports","_get_resource_request_from_ports( ctxt : context . RequestContext , ports : ty . List [ ty . Dict [ str , ty . Any ] ] )",1583,1588
33,3,115,5,50,"_get_port_binding_profile_allocation@1631-1680@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_port_binding_profile_allocation","_get_port_binding_profile_allocation( ctxt : context . RequestContext , neutron : neutron_api . ClientWrapper , port : ty . Dict [ str , ty . Any ] , request_groups : ty . List [ 'objects.RequestGroup' ] , resource_provider_mapping : ty . Dict [ str , ty . List [ str ] ] , )",1631,1680
66,13,359,7,149,"_get_port_allocations_to_heal@1682-1830@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_get_port_allocations_to_heal","_get_port_allocations_to_heal( self , ctxt , instance , node_cache , placement , neutron , output )",1682,1830
22,3,138,4,26,"_update_ports@1832-1857@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_update_ports","_update_ports( self , neutron , ports_to_update , output )",1832,1857
26,4,143,3,34,"_rollback_port_updates@1860-1893@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_rollback_port_updates","_rollback_port_updates( neutron , ports_to_rollback , output )",1860,1893
14,1,69,4,18,"_heal_missing_alloc@1895-1912@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_heal_missing_alloc","_heal_missing_alloc( self , ctxt , instance , node_cache )",1895,1912
4,1,27,3,4,"_heal_missing_project_and_user_id@1914-1917@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_heal_missing_project_and_user_id","_heal_missing_project_and_user_id( self , allocations , instance )",1914,1917
4,2,28,1,4,"ensure_instance_has_no_vgpu_request@1920-1923@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","ensure_instance_has_no_vgpu_request","ensure_instance_has_no_vgpu_request( instance )",1920,1923
4,2,28,1,4,"ensure_instance_has_no_cyborg_device_profile_request@1926-1929@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","ensure_instance_has_no_cyborg_device_profile_request","ensure_instance_has_no_cyborg_device_profile_request( instance )",1926,1929
84,18,479,10,155,"_heal_allocations_for_instance@1931-2085@./nova/nova/cmd/manage.py","./nova/nova/cmd/manage.py","_heal_allocations_for_instance","_heal_allocations_for_instance( self , ctxt , instance , node_cache , output , placement , dry_run , heal_port_allocations , neutron , force )",1931,2085
